date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:18	3480/3480	---M--	200	added ('OK')	image/jpeg	etag:%221573816043%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/test3.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/test3.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/index.html)
10:33:20	84345/84345	---M-Z	200	added ('OK')	application/javascript	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/js/jquery-2.1.4.min.js	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/js/jquery-2.1.4.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/index.html)
10:33:21	67546/67546	---M-Z	200	added ('OK')	application/javascript	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/js/bootstrap.js	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/js/bootstrap.js	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/index.html)
10:33:23	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Nov%202020%2005:33:22%20GMT	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.eot	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.eot	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/bootstrap.css)
10:33:24	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Nov%202020%2005:33:23%20GMT	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.eot?	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regulard41d.eot	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/bootstrap.css)
10:33:25	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.woff2	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.woff2	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/bootstrap.css)
10:33:28	23424/23424	---M--	200	added ('OK')	font/woff	etag:%221510638458%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.woff	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.woff	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/bootstrap.css)
10:33:30	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Nov%202020%2005:33:30%20GMT	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.ttf	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.ttf	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/bootstrap.css)
10:33:32	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2007%20Nov%202020%2005:33:31%20GMT	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.svg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/fonts/glyphicons-halflings-regular.svg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/bootstrap.css)
10:33:35	142425/142425	---M--	200	added ('OK')	image/jpeg	etag:%221573816042%22	https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner1.jpg	C:/Users/Aliyan%20Awan/Desktop/My%20Web%20Sites/Theme/demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/images/banner1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/14-11-2017/soft-demo_Free/671769136/web/css/style.css)
